time(days),time(time),inlet flow,outlet flow,inlet pressure,outlet pressure,Inlet Temp,Outlet Temp
06/07/2009,00:00:00,62222.46454,62222.46454,92.21002769,91.70443689,28.78245849,28.6076698
06/07/2009,00:05:02,62228.41787,62215.97219,92.25617885,91.6952637,28.79110187,28.58478137
06/07/2009,00:10:04,62253.32418,62222.19752,92.25617885,91.71361009,28.79686413,28.59622558
06/07/2009,00:15:07,62253.32418,62253.32418,92.22848816,91.6860905,28.78245849,28.60194769
06/07/2009,00:20:09,62215.96472,62203.52153,92.26540909,91.65857091,28.78533962,28.60480874
06/07/2009,00:25:12,62265.77734,62259.55076,92.30233002,91.67691731,28.80262638,28.59622558
06/07/2009,00:30:14,62215.96472,62197.29993,92.24694862,91.67691731,28.79110187,28.58478137
06/07/2009,00:35:16,62253.32418,62253.32418,92.30233002,91.73195648,28.80550751,28.58764243
06/07/2009,00:40:19,62247.09761,62234.64819,92.28386955,91.73195648,28.793983,28.61053085
06/07/2009,00:45:21,62209.73814,62191.07522,92.29309979,91.6860905,28.79974525,28.59336453
06/07/2009,00:50:24,62265.77734,62247.09761,92.27463932,91.65857091,28.80550751,28.58192032
06/07/2009,00:55:26,62228.41787,62228.41787,92.28386955,91.64022452,28.78533962,28.59908664
06/07/2009,01:00:28,62234.64445,62228.42099,92.23771839,91.65857091,28.80550751,28.60480874
06/07/2009,01:05:31,62209.73814,62209.73814,92.28386955,91.73195648,28.79974525,28.6076698
06/07/2009,01:10:33,62253.32418,62222.19752,92.21002769,91.66774411,28.79110187,28.59050348
06/07/2009,01:15:36,62209.73814,62209.73814,92.21925792,91.72278328,28.80550751,28.60194769
06/07/2009,01:20:38,62247.09761,62234.64819,92.26540909,91.70443689,28.79110187,28.6076698
06/07/2009,01:25:40,62253.32418,62247.09885,92.30233002,91.65857091,28.79686413,28.58478137
06/07/2009,01:30:43,62215.96472,62203.52153,92.23771839,91.67691731,28.81126976,28.61053085
06/07/2009,01:35:45,62215.96472,62184.85674,92.21002769,91.64022452,28.80262638,28.61053085
06/07/2009,01:40:48,62222.1913,62209.74686,92.23771839,91.72278328,28.79686413,28.58192032
06/07/2009,01:45:50,62222.1913,62191.0802,92.29309979,91.65857091,28.79974525,28.58192032
06/07/2009,01:50:52,62222.1913,62191.0802,92.26540909,91.73195648,28.793983,28.59622558
06/07/2009,01:55:55,62240.87103,62222.19877,92.22848816,91.66774411,28.80262638,28.59336453
06/07/2009,02:00:57,62253.32418,62228.42285,92.30233002,91.72278328,28.78245849,28.58192032
06/07/2009,02:06:00,62203.51156,62191.07086,92.27463932,91.71361009,28.79974525,28.61053085
06/07/2009,02:11:02,62234.64445,62203.52713,92.21002769,91.64022452,28.79110187,28.59050348
06/07/2009,02:16:04,62209.73814,62197.29619,92.22848816,91.64022452,28.79110187,28.61053085
06/07/2009,02:21:07,62259.55076,62240.87289,92.24694862,91.66774411,28.80550751,28.58764243
06/07/2009,02:26:09,62203.51156,62203.51156,92.30233002,91.71361009,28.78245849,28.58192032
06/07/2009,02:31:12,62209.73814,62209.73814,92.23771839,91.72278328,28.79110187,28.60194769
06/07/2009,02:36:14,62209.73814,62209.73814,92.24694862,91.73195648,28.79686413,28.59336453
06/07/2009,02:41:16,62240.87103,62240.87103,92.22848816,91.64022452,28.79110187,28.58192032
06/07/2009,02:46:19,62247.09761,62240.8729,92.29309979,91.67691731,28.78822074,28.59622558
06/07/2009,02:51:21,62247.09761,62240.8729,92.21925792,91.65857091,28.80262638,28.59336453
06/07/2009,02:56:24,62203.51156,62191.07086,92.30233002,91.72278328,28.78245849,28.60480874
06/07/2009,03:01:26,62215.96472,62209.74312,92.25617885,91.70443689,28.80838863,28.60480874
06/07/2009,03:06:28,62265.77734,62240.87103,92.22848816,91.64022452,28.81126976,28.59336453
06/07/2009,03:11:31,62222.1913,62191.0802,92.29309979,91.70443689,28.78533962,28.58764243
06/07/2009,03:16:33,62228.41787,62197.30366,92.23771839,91.6952637,28.79686413,28.58192032
06/07/2009,03:21:36,62265.77734,62259.55076,92.30233002,91.6952637,28.80262638,28.60480874
06/07/2009,03:26:38,62215.96472,62203.52153,92.30233002,91.72278328,28.80838863,28.59622558
06/07/2009,03:31:40,62203.51156,62197.29121,92.28386955,91.72278328,28.80550751,28.59050348
06/07/2009,03:36:43,62222.1913,62197.30242,92.24694862,91.65857091,28.793983,28.59050348
06/07/2009,03:41:45,62234.64445,62234.64445,92.23771839,91.70443689,28.79686413,28.59908664
06/07/2009,03:46:48,62240.87103,62222.19877,92.28386955,91.71361009,28.79110187,28.58764243
06/07/2009,03:51:50,62253.32418,62234.64818,92.26540909,91.70443689,28.80262638,28.6076698
06/07/2009,03:56:52,62228.41787,62197.30366,92.27463932,91.66774411,28.80550751,28.59336453
06/07/2009,04:01:55,62247.09761,62222.19877,92.23771839,91.65857091,28.81126976,28.59908664
06/07/2009,04:06:57,62247.09761,62247.09761,92.24694862,91.6860905,28.80550751,28.60194769
06/07/2009,04:12:00,62215.96472,62215.96472,92.21925792,91.67691731,28.793983,28.61053085
06/07/2009,04:17:02,62209.73814,62178.63327,92.26540909,91.65857091,28.79110187,28.59050348
06/07/2009,04:22:04,62265.77734,62240.87103,92.27463932,91.64022452,28.78533962,28.59622558
06/07/2009,04:27:07,62265.77734,62253.32418,92.27463932,91.67691731,28.80838863,28.58764243
06/07/2009,04:32:09,62247.09761,62247.09761,92.25617885,91.64939772,28.78533962,28.59908664
06/07/2009,04:37:12,62203.51156,62197.29121,92.30233002,91.72278328,28.79686413,28.59050348
06/07/2009,04:42:14,62240.87103,62209.75059,92.27463932,91.72278328,28.78822074,28.58192032
06/07/2009,04:47:16,62234.64445,62228.42099,92.28386955,91.67691731,28.80550751,28.58764243
06/07/2009,04:52:19,62240.87103,62240.87103,92.28386955,91.73195648,28.81126976,28.59908664
06/07/2009,04:57:21,62259.55076,62228.42098,92.27463932,91.65857091,28.78245849,28.58192032
06/07/2009,05:02:24,62222.1913,62191.0802,92.26540909,91.64022452,28.79110187,28.61053085
06/07/2009,05:07:26,62247.09761,62240.8729,92.22848816,91.65857091,28.79686413,28.58764243
06/07/2009,05:12:28,62240.87103,62215.97468,92.30233002,91.71361009,28.78245849,28.58764243
06/07/2009,05:17:31,62253.32418,62247.09885,92.27463932,91.72278328,28.78822074,28.6076698
06/07/2009,05:22:33,62265.77734,62247.09761,92.27463932,91.64939772,28.80838863,28.59050348
06/07/2009,05:27:36,62259.55076,62234.64694,92.22848816,91.64022452,28.80838863,28.58764243
06/07/2009,05:32:38,62203.51156,62197.29121,92.24694862,91.66774411,28.78822074,28.59622558
06/07/2009,05:37:40,62209.73814,62209.73814,92.27463932,91.71361009,28.81126976,28.59336453
06/07/2009,05:42:43,62259.55076,62228.42098,92.29309979,91.66774411,28.80550751,28.59336453
06/07/2009,05:47:45,62228.41787,62203.5265,92.23771839,91.64939772,28.80838863,28.59336453
06/07/2009,05:52:48,62234.64445,62209.75059,92.22848816,91.64022452,28.793983,28.61053085
06/07/2009,05:57:50,62228.41787,62203.5265,92.21002769,91.73195648,28.79686413,28.58192032
06/07/2009,06:02:52,62215.96472,62203.52153,92.26540909,91.71361009,28.79686413,28.61053085
06/07/2009,06:07:55,62234.64445,62228.42099,92.24694862,91.70443689,28.78533962,28.59908664
06/07/2009,06:12:57,62203.51156,62172.4098,92.26540909,91.66774411,28.80838863,28.58192032
06/07/2009,06:18:00,62234.64445,62209.75059,92.22848816,91.6952637,28.80262638,28.60194769
06/07/2009,06:23:02,62247.09761,62228.42348,92.30233002,91.67691731,28.80838863,28.59050348
06/07/2009,06:28:04,62215.96472,62203.52153,92.30233002,91.65857091,28.79974525,28.59336453
06/07/2009,06:33:07,62228.41787,62203.5265,92.23771839,91.66774411,28.79110187,28.59908664
06/07/2009,06:38:09,62222.1913,62215.96908,92.21002769,91.65857091,28.81126976,28.58192032
06/07/2009,06:43:12,62259.55076,62240.87289,92.25617885,91.6952637,28.80262638,28.59050348
06/07/2009,06:48:14,62265.77734,62259.55076,92.22848816,91.6952637,28.80262638,28.60480874
06/07/2009,06:53:16,62209.73814,62209.73814,92.24694862,91.70443689,28.793983,28.58478137
06/07/2009,06:58:19,62253.32418,62222.19752,92.30233002,91.64022452,28.79110187,28.58192032
06/07/2009,07:03:21,62228.41787,62215.97219,92.30233002,91.71361009,28.81126976,28.59050348
06/07/2009,07:08:24,62222.1913,62203.52464,92.22848816,91.64022452,28.79686413,28.6076698
